label,method,url,proto,sample,http_code,http_version,remote_ip,local_ip,time_namelookup,time_connect,time_appconnect,time_pretransfer,time_starttransfer,time_total,exit_code
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,h2,3,401,2,172.64.155.209,10.2.112.254,0.002595,0.010118,0.024093,0.024165,0.078178,0.078376,0
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,h2,3,401,2,172.64.155.209,10.2.112.254,0.002529,0.009770,0.022860,0.022918,0.137234,0.137534,0
openai_status,GET,https://status.openai.com/api/v2/summary.json,h2,3,200,2,76.76.21.22,10.2.112.254,0.002379,0.008627,0.022752,0.022813,0.229185,0.229510,0
api_models,GET,https://api.openai.com/v1/models,h3,3,401,3,162.159.140.245,10.2.112.254,0.002502,0.016136,0.017418,0.017686,0.042239,0.042487,0
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,h3,3,401,3,162.159.140.245,10.2.112.254,0.002667,0.014865,0.015986,0.016208,0.088529,0.088799,0
api_responses,POST,https://api.openai.com/v1/responses,h3,3,401,3,162.159.140.245,10.2.112.254,0.002163,0.004313,0.079690,0.079972,0.188345,0.188618,0
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h3,3,401,3,162.159.140.245,10.2.112.254,0.002508,0.014228,0.015326,0.015567,0.082084,0.082288,0
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,h3,3,401,3,162.159.140.245,10.2.112.254,0.002436,0.003325,0.019962,0.020192,0.096247,0.096480,0
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,h3,3,401,3,162.159.140.245,10.2.112.254,0.002188,0.015206,0.016322,0.016539,0.165241,0.165559,0
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,h3,3,401,3,172.64.155.209,10.2.112.254,0.002124,0.016476,0.017658,0.017890,0.063914,0.064145,0
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,h3,3,401,3,172.64.155.209,10.2.112.254,0.002329,0.015150,0.016242,0.016475,0.059899,0.060091,0
openai_status,GET,https://status.openai.com/api/v2/summary.json,h3,3,000,0,,,0.002341,0.000000,0.000000,0.000000,0.000000,5.003782,28
openai_status,GET,https://status.openai.com/api/v2/summary.json,h3,3,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,28
api_models,GET,https://api.openai.com/v1/models,h1,4,401,1.1,162.159.140.245,10.2.112.254,0.002571,0.028236,0.043633,0.043664,0.111697,0.111910,0
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,h1,4,401,1.1,162.159.140.245,10.2.112.254,0.002570,0.011461,0.025945,0.025987,0.092336,0.092569,0
api_responses,POST,https://api.openai.com/v1/responses,h1,4,401,1.1,162.159.140.245,10.2.112.254,0.002493,0.010293,0.023642,0.023677,0.099217,0.099432,0
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h1,4,401,1.1,162.159.140.245,10.2.112.254,0.002155,0.009963,0.022784,0.022811,0.176675,0.176966,0
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,h1,4,401,1.1,162.159.140.245,10.2.112.254,0.002690,0.011083,0.026621,0.026662,0.106681,0.106909,0
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,h1,4,401,1.1,162.159.140.245,10.2.112.254,0.002436,0.010527,0.023453,0.023480,0.095780,0.095931,0
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,h1,4,401,1.1,172.64.155.209,10.2.112.254,0.001965,0.011515,0.023449,0.023475,0.067035,0.067204,0
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,h1,4,401,1.1,172.64.155.209,10.2.112.254,0.002136,0.010050,0.022669,0.022699,0.072540,0.072721,0
openai_status,GET,https://status.openai.com/api/v2/summary.json,h1,4,200,1.1,76.76.21.22,10.2.112.254,0.002158,0.083581,0.099034,0.099066,0.301530,0.301810,0
api_models,GET,https://api.openai.com/v1/models,h2,4,401,2,162.159.140.245,10.2.112.254,0.002555,0.010574,0.025006,0.025077,0.048309,0.048493,0
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,h2,4,401,2,162.159.140.245,10.2.112.254,0.002138,0.012437,0.024587,0.024650,0.102889,0.103121,0
api_responses,POST,https://api.openai.com/v1/responses,h2,4,401,2,162.159.140.245,10.2.112.254,0.002586,0.088163,0.105301,0.105384,0.170982,0.171224,0
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h2,4,401,2,162.159.140.245,10.2.112.254,0.002854,0.011275,0.025458,0.025535,0.101997,0.102253,0
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,h2,4,401,2,162.159.140.245,10.2.112.254,0.002338,0.009012,0.023542,0.023619,0.847502,0.847785,0
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,h2,4,401,2,162.159.140.245,10.2.112.254,0.003112,0.010762,0.026483,0.026586,0.108286,0.108534,0
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,h2,4,401,2,172.64.155.209,10.2.112.254,0.002696,0.011604,0.027721,0.027785,0.073349,0.073515,0
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,h2,4,401,2,172.64.155.209,10.2.112.254,0.002067,0.009023,0.022536,0.022604,0.061629,0.061819,0
openai_status,GET,https://status.openai.com/api/v2/summary.json,h2,4,200,2,76.76.21.22,10.2.112.254,0.002539,0.008975,0.021604,0.021665,0.236121,0.236405,0
api_models,GET,https://api.openai.com/v1/models,h3,4,401,3,162.159.140.245,10.2.112.254,0.002751,0.015331,0.016509,0.016749,0.081020,0.081236,0
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,h3,4,401,3,162.159.140.245,10.2.112.254,0.002306,0.015377,0.016491,0.016726,0.087362,0.087597,0
api_responses,POST,https://api.openai.com/v1/responses,h3,4,401,3,162.159.140.245,10.2.112.254,0.002107,0.014542,0.015597,0.015811,0.081566,0.081782,0
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h3,4,401,3,162.159.140.245,10.2.112.254,0.002186,0.015433,0.016512,0.016728,0.111475,0.111732,0
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,h3,4,401,3,162.159.140.245,10.2.112.254,0.002134,0.016071,0.017200,0.017456,0.101579,0.101811,0
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,h3,4,401,3,162.159.140.245,10.2.112.254,0.002298,0.015519,0.016622,0.016858,0.087201,0.087425,0
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,h3,4,401,3,172.64.155.209,10.2.112.254,0.002429,0.014073,0.015153,0.015361,0.169370,0.169653,0
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,h3,4,401,3,172.64.155.209,10.2.112.254,0.002387,0.003335,0.088889,0.089208,0.141556,0.141865,0
openai_status,GET,https://status.openai.com/api/v2/summary.json,h3,4,000,0,,,0.003317,0.000000,0.000000,0.000000,0.000000,5.003569,28
openai_status,GET,https://status.openai.com/api/v2/summary.json,h3,4,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,28
api_models,GET,https://api.openai.com/v1/models,h1,5,401,1.1,162.159.140.245,10.2.112.254,0.002559,0.010633,0.024580,0.024610,0.130166,0.130409,0
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,h1,5,401,1.1,162.159.140.245,10.2.112.254,0.002450,0.009571,0.022445,0.022475,0.092211,0.092384,0
api_responses,POST,https://api.openai.com/v1/responses,h1,5,401,1.1,162.159.140.245,10.2.112.254,0.002276,0.009054,0.021436,0.021470,0.092493,0.092669,0
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h1,5,401,1.1,162.159.140.245,10.2.112.254,0.002333,0.010624,0.023150,0.023185,0.096805,0.096991,0
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,h1,5,401,1.1,162.159.140.245,10.2.112.254,0.002220,0.009595,0.022483,0.022515,0.163366,0.163636,0
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,h1,5,401,1.1,162.159.140.245,10.2.112.254,0.002468,0.009269,0.023351,0.023386,0.093602,0.093804,0
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,h1,5,401,1.1,172.64.155.209,10.2.112.254,0.002256,0.010686,0.023956,0.023987,0.079590,0.079773,0
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,h1,5,401,1.1,172.64.155.209,10.2.112.254,0.001947,0.010468,0.023168,0.023197,0.067299,0.067470,0
openai_status,GET,https://status.openai.com/api/v2/summary.json,h1,5,200,1.1,76.76.21.22,10.2.112.254,0.002532,0.009726,0.025170,0.025191,0.229459,0.237535,0
api_models,GET,https://api.openai.com/v1/models,h2,5,401,2,162.159.140.245,10.2.112.254,0.002317,0.009731,0.023663,0.023735,0.089966,0.090157,0
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,h2,5,401,2,162.159.140.245,10.2.112.254,0.002274,0.009760,0.022464,0.022530,0.088698,0.088879,0
api_responses,POST,https://api.openai.com/v1/responses,h2,5,401,2,162.159.140.245,10.2.112.254,0.002264,0.009168,0.021587,0.021649,0.094315,0.094513,0
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h2,5,401,2,162.159.140.245,10.2.112.254,0.002646,0.009957,0.023873,0.023938,0.127487,0.127754,0
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,h2,5,401,2,162.159.140.245,10.2.112.254,0.002674,0.011017,0.024989,0.025061,0.093326,0.093569,0
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,h2,5,401,2,162.159.140.245,10.2.112.254,0.002253,0.010225,0.024268,0.024349,0.098958,0.099197,0
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,h2,5,401,2,172.64.155.209,10.2.112.254,0.002319,0.009554,0.022074,0.022125,0.063897,0.064071,0
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,h2,5,401,2,172.64.155.209,10.2.112.254,0.002297,0.009485,0.022484,0.022552,0.067471,0.067663,0
openai_status,GET,https://status.openai.com/api/v2/summary.json,h2,5,200,2,76.76.21.22,10.2.112.254,0.002415,0.095473,0.112232,0.112308,0.360779,0.361106,0
api_models,GET,https://api.openai.com/v1/models,h3,5,401,3,162.159.140.245,10.2.112.254,0.002757,0.015181,0.016461,0.016706,0.087269,0.087463,0
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,h3,5,401,3,162.159.140.245,10.2.112.254,0.002257,0.014686,0.016073,0.016277,0.123254,0.123885,0
api_responses,POST,https://api.openai.com/v1/responses,h3,5,401,3,162.159.140.245,10.2.112.254,0.002272,0.016608,0.017822,0.018078,0.100888,0.101171,0
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h3,5,401,3,162.159.140.245,10.2.112.254,0.002072,0.004126,0.021028,0.021277,0.122192,0.122461,0
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,h3,5,401,3,162.159.140.245,10.2.112.254,0.002724,0.003659,0.231940,0.232514,0.957123,0.957420,0
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,h3,5,401,3,162.159.140.245,10.2.112.254,0.002648,0.014898,0.016046,0.016299,0.085921,0.086182,0
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,h3,5,401,3,172.64.155.209,10.2.112.254,0.002389,0.015438,0.016545,0.016762,0.056593,0.056834,0
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,h3,5,401,3,172.64.155.209,10.2.112.254,0.002154,0.015201,0.016300,0.016535,0.113788,0.114210,0
openai_status,GET,https://status.openai.com/api/v2/summary.json,h3,5,000,0,,,0.002384,0.000000,0.000000,0.000000,0.000000,5.003132,28
openai_status,GET,https://status.openai.com/api/v2/summary.json,h3,5,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,28
